31.01.2020,1700
29.02.2020,1700
31.03.2020,1700
30.04.2020,1700
31.05.2020,1700
30.06.2020,1700
31.07.2020,1700
31.08.2020,1700
30.09.2020,1700
31.10.2020,1700
30.11.2020,1700
31.12.2020,1700
31.01.2021,1700
28.02.2021,1700
31.03.2021,1700
30.04.2021,1700
31.05.2021,1700
30.06.2021,1700
31.07.2021,1700
31.08.2021,1700
30.09.2021,1700
31.10.2021,1700
30.11.2021,1700
31.12.2021,1700
31.01.2022,1700
28.02.2022,1700
31.03.2022,1700
30.04.2022,1700
31.05.2022,1700
30.06.2022,1700
31.07.2022,1700
31.08.2022,1700
30.09.2022,1700
31.10.2022,1700
30.11.2022,1700
31.12.2022,1700
31.01.2023,1700
28.02.2023,1700
31.03.2023,1700
30.04.2023,1700
31.05.2023,1700
30.06.2023,1700
31.07.2023,1700
31.08.2023,1700
30.09.2023,1700
31.10.2023,1700
30.11.2023,1700
31.12.2023,1700
31.01.2024,1700
29.02.2024,1700
31.03.2024,1700
30.04.2024,1700
31.05.2024,1700
30.06.2024,1700
31.07.2024,1700
31.08.2024,1700
30.09.2024,1700
31.10.2024,1700
30.11.2024,1700
31.12.2024,1700
31.01.2025,1700
28.02.2025,1700
31.03.2025,1700
30.04.2025,1700
31.05.2025,1700
30.06.2025,1700
31.07.2025,1700
31.08.2025,1700
30.09.2025,1700
31.10.2025,1700
30.11.2025,1700
31.12.2025,1700
